"BatchID","Fish Serial Number","Stomach Collection","Stomach Weight","Stomach Fullness","Notes","Fullness comments"
5,"HIPP0891",0,,,,
5,"HIPP0892",0,,,,
5,"HIPP0893",0,,,,
5,"HIPP0894",0,,,,
5,"HIPP0895",0,,0.00,"empty",
5,"HIPP0896",0,,2.00,"small amt residue",
5,"HIPP0897",0,,2.00,"2 copepods; small amt residue",
5,"HIPP0898",0,,2.00,"1 copepod; v. small amt residue",
5,"HIPP0899",0,,0.00,"empty",
5,"HIPP0900",0,,,"1 Thysanoessa; 4 copepods; 1 tiny shrimpy thing",
5,"HIPP0901",0,,,"1 copepod",
5,"HIPP0902",0,,,"1 copepod",
5,"HIPP0903",0,,0.00,"empty",
5,"HIPP0904",0,,,"1 mashed copepod",
5,"HIPP0905",0,,,"1 euphausid (prob Thysanoessa)",
5,"HIPP0906",0,,0.00,"empty",
5,"HIPP0907",0,,0.00,"empty",
5,"HIPP0908",0,,2.00,"small amt residue",
5,"HIPP0909",0,,,"2 euphausids (prob Thysanoessa)",
5,"HIPP0910",0,,0.00,"empty",
5,"HIPP0911",0,,0.00,"empty",
5,"HIPP0912",0,,2.00,"small amt residue",
5,"HIPP0913",0,,0.00,"empty",
5,"HIPP0914",0,,,"1 copepod",
5,"HIPP0915",0,,,"2 copepods",
5,"HIPP0916",0,,0.00,"empty",
5,"HIPP0917",0,,0.00,"empty",
5,"HIPP0918",0,,0.00,"empty",
5,"HIPP0919",0,,,,
5,"HIPP0920",0,,,,
5,"HIPP0921",0,,,,
5,"HIPP0922",0,,,,
5,"HIPP0923",0,,0.00,"empty",
5,"HIPP0924",0,,0.00,"empty",
5,"HIPP0925",0,,0.00,"empty",
5,"HIPP0926",0,,0.00,"empty",
5,"HIPP0927",0,,0.00,"empty; but part-digested euphausid and copepod in back of gills",
5,"HIPP0928",0,,0.00,"empty",
5,"HIPP0929",0,,0.00,"empty",
5,"HIPP0930",0,,0.00,"empty",
5,"HIPP0931",0,,0.00,"empty",
5,"HIPP0932",0,,0.00,"empty",
5,"HIPP0933",0,,0.00,"empty",
5,"HIPP0934",0,,0.00,"empty",
5,"HIPP0935",0,,0.00,"empty",
5,"HIPP0936",0,,0.00,"empty",
5,"HIPP0937",0,,0.00,"empty",
5,"HIPP0938",0,,0.00,"empty",
5,"HIPP0939",0,,0.00,"empty",
5,"HIPP0940",0,,,,
5,"HIPP0941",0,,,,
5,"HIPP0942",0,,,,
5,"HIPP0943",0,,,,
5,"HIPP0944",0,,0.00,"empty",
5,"HIPP0945",0,,,"5 ostracods; residue",
5,"HIPP0946",0,,,"1 copepod, 2 ostracods, residue",
5,"HIPP0947",0,,,"1 Thysanoessa; crust. Residue incl 8 Thysanoessa eyes",
5,"HIPP0948",0,,0.00,"empty",
5,"HIPP0949",0,,2.00,"small amt residue",
5,"HIPP0950",0,,0.00,"empty",
5,"HIPP0951",0,,2.00,"v. small amt residue",
5,"HIPP0952",0,,0.00,"empty",
5,"HIPP0953",0,,2.00,"small amt residue",
5,"HIPP0954",0,,2.00,"small amt residue incl. 2 Thysanoessa eyes",
5,"HIPP0955",0,,,"unid. Mush",
5,"HIPP0956",0,,,"20 copepods; residue",
5,"HIPP0957",0,,,"8 ostracods; 1 copepod; 3 euphausids",
5,"HIPP0958",0,,,"1.5 euphausids",
5,"HIPP0959",0,,2.00,"small amt residue",
5,"HIPP0960",0,,,"gut missing",
5,"HIPP0961",0,,0.00,"empty",
5,"HIPP0962",0,,0.00,"empty",
5,"HIPP0963",0,,0.00,"empty",
5,"HIPP0964",0,,,"12 copepods",
5,"HIPP0965",0,,0.00,"empty",
5,"HIPP0966",0,,0.00,"empty",
5,"HIPP0967",0,,0.00,"empty",
5,"HIPP0968",0,,0.00,"empty",
5,"HIPP0969",0,,0.00,"empty",
5,"HIPP0970",0,,2.00,"small amt residue",
5,"HIPP0971",0,,2.00,"small amt residue",
5,"HIPP0972",0,,,"7 ostracods; 1 copepod; 3 euphausids",
5,"HIPP0973",0,,2.00,"small amt residue",
5,"HIPP0974",0,,2.00,"3 copepods; 1 euphausid; 1 ostracod; small amt residue",
5,"HIPP0975",0,,0.00,"empty",
5,"HIPP0976",0,,2.00,"small amt residue",
5,"HIPP0977",0,,0.00,"empty",
5,"HIPP0978",0,,0.00,"empty",
5,"HIPP0979",0,,0.00,"empty",
5,"HIPP0980",0,,2.00,"small amt residue",
5,"HIPP0981",0,,0.00,"empty",
5,"HIPP0982",0,,0.00,"empty",
5,"HIPP0983",0,,2.00,"small amt residue",
5,"HIPP0984",0,,0.00,"empty",
5,"HIPP0985",0,,2.00,"small amt residue",
5,"HIPP0986",0,,0.00,"empty",
5,"HIPP0987",0,,0.00,"empty",
5,"HIPP0988",0,,0.00,"empty",
5,"HIPP0989",0,,0.00,"empty",
5,"HIPP0990",0,,0.00,"empty",
5,"HIPP0991",0,,0.00,"empty",
5,"HIPP0992",0,,,,
5,"HIPP0993",0,,,,
5,"HIPP0994",0,,,,
5,"HIPP0995",0,,,,
5,"HIPP0996",0,,,"1 Thysanoessa; 1 copepod; 1 decapod; 6 compound eyes",
5,"HIPP0997",0,,,"1 Thysanoessa; 1 copepod; 1 ostracod; residue",
5,"HIPP0998",0,,,"1 copepod; residue",
5,"HIPP0999",0,,0.00,"empty",
5,"HIPP1000",0,,,"5 Thysanoessa; residue",
5,"HIPP1001",0,,,"31 copepods; residue",
5,"HIPP1002",0,,,"crust. Residue incl. 4 large dark compound eyes",
5,"HIPP1003",0,,,"1 Thysanoessa; 1 amphipod; 7 copepods; residue",
5,"HIPP1004",0,,,"1 E. triacantha; 1 Thysanoessa; 3 copepods",
5,"HIPP1005",0,,,"3 Thysanoessa; 1 ostracod; 1 copepod; residue",
5,"HIPP1006",0,,,"3 Thysanoessa; 2 copepods; residue incl 2 euphausid eyes",
5,"HIPP1007",0,,2.00,"v. small amt residue",
5,"HIPP1008",0,,2.00,"1 Thysanoessa; 2 copepods; small amt residue",
5,"HIPP1009",0,,,"1 copepod; residue (prob copepod)",
5,"HIPP1010",0,,,"10 copepods; residue",
5,"HIPP1011",0,,2.00,"v. small amt residue",
5,"HIPP1012",0,,,"1 copepod; residue (prob copepod)",
5,"HIPP1013",0,,,"16 copepods; residue","parasite on gut (retained)"
5,"HIPP1014",0,,2.00,"1 copepod; small amt residue",
5,"HIPP1015",0,,2.00,"5 copepods; small amt residue (prob copepod)",
5,"HIPP1016",0,,,"3 copepods; residue",
5,"HIPP1017",0,,,"4 Thysanoessa; residue",
5,"HIPP1018",0,,,"2 copepods",
5,"HIPP1019",0,,,"2 Thysanoessa; 4 copepods; residue",
5,"HIPP1020",0,,,"5 copepods; residue (prob copepod)",
5,"HIPP1021",0,,,"1 euphausid; 13 copepods; residue",
5,"HIPP1022",0,,,"4 Thysanoessa; 1 copepod; residue",
5,"HIPP1023",0,,,"2 copepods",
5,"HIPP1024",0,,,"2 copepods; residue",
5,"HIPP1025",0,,,"2 Thysanoessa; 6 copepods; residue",
5,"HIPP1026",0,,,"1 Thysanoessa; 4 copepods; residue",
5,"HIPP1027",0,,,"residue",
5,"HIPP1028",0,,2.00,"small amt residue",
5,"HIPP1029",0,,,"3 copepods; residue",
5,"HIPP1030",0,,,"3 Thysanoessa; residue",
5,"HIPP1031",0,,0.00,"empty",
5,"HIPP1032",0,,2.00,"1 copepod; small amt residue",
5,"HIPP1033",0,,,"6 copepods; 1 ostracod; residue (mostly copepod)",
5,"HIPP1034",0,,,"5 copepods; residue",
5,"HIPP1035",0,,,"residue",
5,"HIPP1036",0,,,,
5,"HIPP1037",0,,,,
5,"HIPP1038",0,,,,
5,"HIPP1039",0,,,,
6,"HIPP1686",0,,,"6 decapods",
6,"HIPP1687",0,,,"1 sm amphipod, 2 decapods, residue (looks like decapod remains) incl 8 cmpd eyes",
6,"HIPP1688",0,,,"8 decapods + residue incl 9 cmpd eyes, prob decapods",
6,"HIPP1689",0,,,"1 copepod + residue",
6,"HIPP1690",0,,,"3 decapods, 6 tiny shrimpy things + residue incl 6 cmpd eyes",
6,"HIPP1691",0,,,"7 decapods + residue incl 4 cmpd eyes & amphipod legs",
6,"HIPP1692",0,,0.00,"empty",
6,"HIPP1693",0,,0.00,"empty",
6,"HIPP1694",0,,0.00,"empty",
6,"HIPP1695",0,,0.00,"empty",
6,"HIPP1696",0,,0.00,"empty",
6,"HIPP1697",0,,,"residue",
6,"HIPP1698",0,,0.00,"empty",
6,"HIPP1699",0,,0.00,"empty",
6,"HIPP1700",0,,0.00,"empty",
6,"HIPP1701",0,,,,
6,"HIPP1702",0,,,,
6,"HIPP1703",0,,,,
7,"HIPP1704",0,,,"1 Thysanoessa, 2 mysids + residue incl 4 cmpd eyes + 1 fish scale",
7,"HIPP1705",0,,,"1 Thysanoesa, 1 mysid, 1 copepod + residue incl 6 cmpd eyes",
7,"HIPP1706",0,,,"1 mysid + residue (crust incl 1 sm shrimpy thing)",
7,"HIPP1707",0,,,"1 euphausid",
7,"HIPP1708",0,,,"1 euphausid, 2 copepods + crust residue incl 24 cmpd eyes + 1 fish scale",
7,"HIPP1709",0,,,"1 decapod, 1 mysid + crust residue incl 20 cmpd eyes",
7,"HIPP1710",0,,,"2 euphausids, 3 copepods + crust residue incl 4 cmpd eyes",
7,"HIPP1711",0,,,"3 euphausids (incl 1 Thysanoessa) 2 copepods + residue incl 4 mysids/decapods + 8 cmpd eyes",
7,"HIPP1712",0,,,"6 decapods, 1 ostracod + crust residue incl 12 cmpd eyes",
7,"HIPP1713",0,,,"2 copepods, 2 amphipods, 1 euphausid, 1 mysid, 2 decapods + residue incl 14 cmpd eyes",
7,"HIPP1714",0,,,"1 euphausid + crust residue incl 14 cmpd eyes",
7,"HIPP1715",0,,,"5 euphausids, 6 copepods, 1 amphipod + crust residue incl 10 cmpd eyes",
7,"HIPP1716",0,,,"3 copepods, 1 decapod + crust residue incl 18 cmpd eyes",
7,"HIPP1717",0,,,"1 copepod, 1 amphipod, 2 decapod/mysid + crust residue incl 2 cmpd eyes",
7,"HIPP1718",0,,,"1 euphausid + crust residue incl 12 cmpd eyes",
7,"HIPP1719",0,,,"1 Thysanoessa + residue incl 16 cmpd eyes + copepod remains",
7,"HIPP1720",0,,,"crust residue incl 20 cmpd eyes",
7,"HIPP1721",0,,,"1 euphausid, 7 copepods + residue",
7,"HIPP1722",0,,,"3 euphausids, 5 copepods + residue",
7,"HIPP1723",0,,,"1 euphausid, 1 copepod + residue incl 4 cmpd eyes",
7,"HIPP1724",0,,,"1 copepod, 2 tiny shrimpy things + residue  (copepod remains + gastropod umbo)",
7,"HIPP1725",0,,0.00,"empty",
7,"HIPP1726",0,,0.00,"empty",
7,"HIPP1727",0,,,"29 copepods, 2 ostracods + residue",
7,"HIPP1728",0,,0.00,"empty",
7,"HIPP1729",0,,0.00,"empty",
7,"HIPP1730",0,,,"residue incl 1 cmpd eye",
7,"HIPP1731",0,,0.00,"empty",
7,"HIPP1732",0,,0.00,"empty",
7,"HIPP1733",0,,0.00,"empty",
7,"HIPP1734",0,,,"2 euphausids, 2 ostracods + residue",
7,"HIPP1735",0,,,"2 decapods, 1 euphausid + residue",
7,"HIPP1736",0,,,"residue incl 2 Thysanoessa eyes",
8,"HIPP1737",0,,,"8 copepods + residue",
8,"HIPP1738",0,,,"3 copepods + residue",
8,"HIPP1739",0,,,"1 copepod + residue",
8,"HIPP1740",0,,,"1 copepod",
8,"HIPP1741",0,,,"2 copepods + residue",
8,"HIPP1742",0,,,"2 copepods + residue",
8,"HIPP1743",0,,,"3 copepods + residue",
8,"HIPP1744",0,,,"1 copepod + residue",
8,"HIPP1745",0,,,"5 copepods, 1 tiny shrimpy thing + residue",
8,"HIPP1746",0,,,"1 copepod + residue",
8,"HIPP1747",0,,,"2 copepods + residue",
8,"HIPP1748",0,,,"3 copepods + residue incl 2 sm cmpd eyes",
8,"HIPP1749",0,,,,
8,"HIPP1750",0,,,"1 amphipod, 1 copepod, 1 gastropod + residue",
8,"HIPP1751",0,,,"9 mysids, 2 euphausids, 3 copepods, 1 gastropod, 1 amphipod + residue incl 20 cmpd eyes",
8,"HIPP1752",0,,,"2 euphausids, 3 copepods + residue incl 6 Thys eyes + 18 cmpd eyes",
8,"HIPP1753",0,,,"1 copepod + remains 2 amphipods + 2 mysids + unident residue",
8,"HIPP1754",0,,,"1 Thysanoessa, 2 copepods, 1 mysid + residue incl cmpd eyes",
8,"HIPP1755",0,,,"residue incl 2 Thys eyes + 8 other cmpd eyes",
8,"HIPP1756",0,,,"6 mysids, 1 euphausid, 1 copepod + residue incl 2 Thys eyes + 5 other cmpd eyes",
8,"HIPP1757",0,,,"1 Thysanoessa, 1 mysid, 7 copepods + residue incl cmpd eyes",
8,"HIPP1758",0,,,"1 Thysanoessa, 1 euphausid, 4 copepods, 1 amphipod + residue",
8,"HIPP1759",0,,,"3 Thysanoessa, 1 euphausid, 2 amphipods, 2 mysids, 5 copepods + residue incl gastropod remains + 3 cmpd eyes",
8,"HIPP1760",0,,,"3 euphausids, 1 fish scale + residue",
8,"HIPP1761",0,,,"9 amphipods, 1 copepod, 1 E. vallentini + residue incl 5 cmpd eyes",
8,"HIPP1762",0,,,"8 copepods, 1 amphipod, 3 Thysanoessa, 1 euphausid, 2 tiiny shrimpy things + residue incl 8 cmpd eyes",
8,"HIPP1763",0,,,"2 Thysanoessa, 6 copepods, 2 gastropods + residue incl 10 cmpd eyes + 2 tiny shrimpy things",
8,"HIPP1764",0,,,"1 Thysanoessa, 1 mysid, 3 copepods + residue incl 12 cmpd eyes",
8,"HIPP1765",0,,,"19 amphipods, 1 Thysanoessa, 1 euphausid, 1 copepod, 1 fish scale + residue",
8,"HIPP1766",0,,,"1 amphipod, 2 copepods, 1 fish scale + residue incl 4 cmpd eyes",
8,"HIPP1767",0,,,"1 Thysanoessa, 1 E. vallentini, 2 amphipods, 4 copepods + residue incl 5 Thys + 4 euphausid eyes",
8,"HIPP1768",0,,,"4 Thysanoessa, 1 E. vallentini, 1 euphausid, 4 copepods + residue incl 8 cmpd eyes",
8,"HIPP1769",0,,,"1 euphausid + residue",
8,"HIPP1770",0,,,"1 euphausid, 4 copepods, 2 tiny shrimpy things, 1 gastropod + residue of gastropods",
8,"HIPP1771",0,,,"1 Thysanoessa, 6 copepods, 5 tiny shrimpy things + residue",
8,"HIPP1772",0,,,"1 copepod + residue",
8,"HIPP1773",0,,,"residue incl 4 sm cmpd eyes",
8,"HIPP1774",0,,,"1 copepod, 2 tiny shrimpy things + residue incl 4 cmpd eyes",
8,"HIPP1775",0,,0.00,"empty",
8,"HIPP1776",0,,,"1 mysid + residue",
9,"HIPP1777",0,,,"2 copepods + residue incl copepod remains",
9,"HIPP1778",0,,,"residue incl copepod remains",
9,"HIPP1779",0,,,"6 euphausids (3 Thysanoessa), 6 copepods, 1 ostracod + residue",
10,"HIPP1780",0,,,"2 copepods, 3 gastropods, 1 tiny amphipod + residue",
10,"HIPP1781",0,,,"4 copepods + residue",
10,"HIPP1782",0,,,"1 copepod",
11,"HIPP1783",0,,,"remains of 2 euphausids",
11,"HIPP1784",0,,,"4 copepods",
11,"HIPP1785",0,,,"8 copepods, remains 1 Thysanoessa + residue",
11,"HIPP1786",0,,,"1 Thysanoessa, 4 copepods, 3 mysids, 1 worm, 1 spiny test + residue",
11,"HIPP1787",0,,,"7 euphausids (incl 1 Thysanoessa), 1 tiny amphipod, 1 copepod",
12,"HIPP1788",0,,,"whole fish retained",
12,"HIPP1789",0,,,"whole fish retained",
12,"HIPP1790",0,,,"whole fish retained",
12,"HIPP1791",0,,,"whole fish retained",
12,"HIPP1792",0,,,"whole fish retained",
12,"HIPP1793",0,,,"whole fish retained",
12,"HIPP1794",0,,,"whole fish retained",
12,"HIPP1795",0,,,"1 mysid + gelatinous white residue",
12,"HIPP1796",0,,0.00,"empty",
12,"HIPP1797",0,,0.00,"empty",
12,"HIPP1798",0,,,"residue incl remains 1 crustacean, possibly mysid",
12,"HIPP1799",0,,0.00,"empty",
12,"HIPP1800",0,,1.00,"tiny amt residue",
12,"HIPP1801",0,,,"v sm amt residue",
12,"HIPP1802",0,,,"residue incl rmains 1 copepod + 1 pteropod",
12,"HIPP1803",0,,,"4 copepods + residue",
12,"HIPP1804",0,,2.00,"small amt residue",
12,"HIPP1805",0,,1.00,"tiny amt residue",
12,"HIPP1806",0,,0.00,"empty",
12,"HIPP1807",0,,1.00,"tiny amt residue",
12,"HIPP1808",0,,2.00,"small amt residue",
12,"HIPP1809",0,,0.00,"empty",
12,"HIPP1810",0,,,"1 copepod + residue incl remains 1 euphausid",
12,"HIPP1811",0,,,"residue incl copepod remains",
12,"HIPP1812",0,,,"residue incl remains euphausid eyes",
12,"HIPP1813",0,,1.00,"tiny amt residue",
12,"HIPP1814",0,,2.00,"small amt residue",
12,"HIPP1815",0,,2.00,"small amt residue",
12,"HIPP1816",0,,,"1 copepod + residue",
12,"HIPP1817",0,,0.00,"empty",
12,"HIPP1818",0,,0.00,"empty",
12,"HIPP1819",0,,2.00,"small amt residue incl pteropod",
12,"HIPP1820",0,,0.00,"empty",
12,"HIPP1821",0,,,"v sm amt residue incl copepod remains + pteropods",
12,"HIPP1822",0,,,"residue incl copepod remains",
12,"HIPP1823",0,,,"sm amt residue",
12,"HIPP1824",0,,0.00,"empty",
12,"HIPP1825",0,,,"residue incl copepod remains",
12,"HIPP1826",0,,,,
12,"HIPP1827",0,,,,
12,"HIPP1828",0,,,,
12,"HIPP1829",0,,,,
12,"HIPP1830",0,,,,
12,"HIPP1831",0,,,,
12,"HIPP1832",0,,,,
12,"HIPP1833",0,,,,
12,"HIPP1834",0,,,,
12,"HIPP1835",0,,,,
12,"HIPP1836",0,,,,
12,"HIPP1837",0,,,,
12,"HIPP1838",0,,,,
12,"HIPP1839",0,,,,
12,"HIPP1840",0,,,,
12,"HIPP1841",0,,,,
12,"HIPP1842",0,,,,
12,"HIPP1843",0,,,,
12,"HIPP1844",0,,,,
12,"HIPP1845",0,,,,
12,"HIPP1846",0,,,,
12,"HIPP1847",0,,,,
12,"HIPP1848",0,,,,
12,"HIPP1849",0,,,,
12,"HIPP1850",0,,,,
12,"HIPP1851",0,,,"residue incl 30 cmpd eyes (mysids or decapods?), remains 1 amphipod + 2 fish scales",
12,"HIPP1852",0,,,"residue incl 2 Thys + 2 euphausid eyes, 1 copepod",
12,"HIPP1853",0,,,"crust residue incl 4 cmpd eyes",
12,"HIPP1854",0,,,"1 mysid, 1 copepod + crust residue incl 5 cmpd eyes",
12,"HIPP1855",0,,,"1 mysid + crust residue incl 2 cmpd eyes",
12,"HIPP1856",0,,,"1 amphipod + residue",
12,"HIPP1857",0,,1.00,"tiny amt residue",
12,"HIPP1858",0,,1.00,"tiny amt residue",
12,"HIPP1859",0,,0.00,"empty",
12,"HIPP1860",0,,,"1 euphausid + residue incl remains 2nd euphausid",
12,"HIPP1861",0,,1.00,"tiny amt residue",
12,"HIPP1862",0,,,"residue incl remains 1 copepod",
12,"HIPP1863",0,,,"6 copepods + residue incl copepod, chaetognath, euphausid + pteropod remains (6 cmpd eyes)",
12,"HIPP1864",0,,,,
12,"HIPP1865",0,,,"2 sm copepods, 1 ostracod + residue incl mysid(?), chaetognath + copepod remains (2 cmpd eyes)",
12,"HIPP1866",0,,,,
12,"HIPP1867",0,,,,
12,"HIPP1868",0,,,,
12,"HIPP1869",0,,,"2 euphausids (1 Thysanoessa), 4 copepods (1 Candacia) + residue incl chaetognath + copepod remains + 1 fish scale",
12,"HIPP1870",0,,,"8 copepods + residue incl copepod + chaetognath remains",
12,"HIPP1871",0,,,,
12,"HIPP1872",0,,,,
12,"HIPP1873",0,,2.00,"small amt residue",
12,"HIPP1874",0,,1.00,"tiny amt residue",
12,"HIPP1875",0,,,"1 amphipod",
12,"HIPP1876",0,,,"crust residue",
12,"HIPP1877",0,,,"residue incl 2 cmpd eyes + copepod remains",
12,"HIPP1878",0,,0.00,"empty",
12,"HIPP1879",0,,,"8 ostracods, 1 gastropod, 2 amphipods + residue",
12,"HIPP1880",0,,,"residue incl 2 cmpd eyes",
12,"HIPP1881",0,,0.00,"empty",
12,"HIPP1882",0,,,"1 euphausid, 18 copepods, 4 ostracods",
12,"HIPP1883",0,,0.00,"empty",
12,"HIPP1884",0,,,"3 copepods, 2 amphipods, 4 ostracods + residue",
12,"HIPP1885",0,,0.00,"empty",
12,"HIPP1886",0,,0.00,"empty",
12,"HIPP1887",0,,,"26 copepods, 3 ostracods + sm amt residue",
12,"HIPP1888",0,,,"3 euphausids, 4 copepods, 2 amphipods, 2 ostracods + sm amt residue",
12,"HIPP1889",0,,,"33 copepods",
12,"HIPP1890",0,,0.00,"empty",
12,"HIPP1891",0,,,"3 euphausids (1 Thys) + residue incl 2 euphausid eyes",
12,"HIPP1892",0,,,"residue",
12,"HIPP1893",0,,,"25 copepods, 2 amphipods + residue",
12,"HIPP1894",0,,,"crust residue",
12,"HIPP1895",0,,,"remains 2 euphausids",
12,"HIPP1896",0,,0.00,"empty",
12,"HIPP1897",0,,,"16 copepods, 2 chaetognaths + residue",
12,"HIPP1898",0,,0.00,"empty",
12,"HIPP1899",0,,,"15 copepods + residue incl euphausid remains",
12,"HIPP1900",0,,,,
12,"HIPP1901",0,,,,
12,"HIPP1902",0,,,,
12,"HIPP1903",0,,,,
12,"HIPP1904",0,,,,
12,"HIPP1905",0,,,,
12,"HIPP1906",0,,,,
12,"HIPP1907",0,,,,
12,"HIPP1908",0,,,,
12,"HIPP1909",0,,,,
12,"HIPP1910",0,,,,
12,"HIPP1911",0,,,,
12,"HIPP1912",0,,,,
12,"HIPP1913",0,,,,
12,"HIPP1914",0,,,,
12,"HIPP1915",0,,,,
12,"HIPP1916",0,,,,
12,"HIPP1917",0,,,,
12,"HIPP1918",0,,,,
12,"HIPP1919",0,,,,
12,"HIPP1920",0,,,,
12,"HIPP1921",0,,,,
12,"HIPP1922",0,,,,
12,"HIPP1923",0,,,,
12,"HIPP1924",0,,,,
12,"HIPP1925",0,,,"1 ostracod + crust residue incl 4 cmpd eyes (2 Thysanoessa)",
12,"HIPP1926",0,,,"1 euphausid, 4 copepods + residue",
12,"HIPP1927",0,,,"residue",
12,"HIPP1928",0,,,"5 copepods + residue",
12,"HIPP1929",0,,,"residue",
12,"HIPP1930",0,,,"8 copepods, 2 ostracods + residue (prob copepod)",
12,"HIPP1931",0,,,"4 copepods + residue",
12,"HIPP1932",0,,,"1 euphausid, 1 amphipod, 3 copepods + residue",
12,"HIPP1933",0,,,"2 ostracods, 1 copepod + residue",
12,"HIPP1934",0,,,"6 copepods, 1 amphipod, 1 ostracod + residue",
12,"HIPP1935",0,,,"1 Thysanoessa",
12,"HIPP1936",0,,,"1 Thysanoessa, 1 copepod + residue",
12,"HIPP1937",0,,,"10 copepods, 1 Thysanoessa + residue",
